zdid,,,lxid,,,ysfsbm,zdmc,,,,sfty,,station_code,station_telecode,station_shortname,
157,NULL,NULL,1,NULL,NULL,1,大灰厂    ,NULL,NULL,NULL,0,NULL,14186,DHP,大,NULL
158,NULL,NULL,1,NULL,NULL,1,上万      ,NULL,NULL,NULL,0,NULL,14189,SWP,上,NULL
159,NULL,NULL,1,NULL,NULL,1,南观村    ,NULL,NULL,NULL,0,NULL,14192,NGP,南,NULL
160,NULL,NULL,1,NULL,NULL,1,燕山      ,NULL,NULL,NULL,0,NULL,14195,AOP,燕,NULL
161,NULL,NULL,1,NULL,NULL,1,良各庄    ,NULL,NULL,NULL,0,NULL,14204,LGP,良,NULL
162,NULL,NULL,1,NULL,NULL,1,孤山口    ,NULL,NULL,NULL,0,NULL,14213,GSP,孤,NULL
163,NULL,NULL,1,NULL,NULL,1,云居寺    ,NULL,NULL,NULL,0,NULL,14219,AFP,云,NULL
164,NULL,NULL,1,NULL,NULL,1,三合庄    ,NULL,NULL,NULL,0,NULL,14222,SVP,三,NULL
165,NULL,NULL,1,NULL,NULL,1,十渡      ,NULL,NULL,NULL,0,NULL,14225,SEP,十,NULL
166,NULL,NULL,1,NULL,NULL,1,平峪      ,NULL,NULL,NULL,0,NULL,14228,PYP,平,NULL
167,NULL,NULL,1,NULL,NULL,1,百里峡    ,NULL,NULL,NULL,0,NULL,14234,AAP,百,NULL
168,NULL,NULL,1,NULL,NULL,1,野三坡    ,NULL,NULL,NULL,0,NULL,14237,AIP,野,NULL
169,NULL,NULL,1,NULL,NULL,1,福山口    ,NULL,NULL,NULL,0,NULL,14240,FKP,福,NULL
170,NULL,NULL,1,NULL,NULL,1,白涧      ,NULL,NULL,NULL,0,NULL,14243,BAP,白,NULL
171,NULL,NULL,1,NULL,NULL,1,板城      ,NULL,NULL,NULL,0,NULL,14264,BUP,板,NULL
172,NULL,NULL,1,NULL,NULL,1,南城司    ,NULL,NULL,NULL,0,NULL,14267,NSP,南,NULL
173,NULL,NULL,1,NULL,NULL,1,奇峰塔    ,NULL,NULL,NULL,0,NULL,14270,QVP,奇,NULL
174,NULL,NULL,1,NULL,NULL,1,紫荆关    ,NULL,NULL,NULL,0,NULL,14273,ZYP,紫,NULL
175,NULL,NULL,1,NULL,NULL,1,大盘石    ,NULL,NULL,NULL,0,NULL,14276,RPP,大,NULL
176,NULL,NULL,1,NULL,NULL,1,塔崖驿    ,NULL,NULL,NULL,0,NULL,14279,TYP,塔,NULL
177,NULL,NULL,1,NULL,NULL,1,王安镇    ,NULL,NULL,NULL,0,NULL,14282,WVP,王,NULL
178,NULL,NULL,1,NULL,NULL,1,浮图峪    ,NULL,NULL,NULL,0,NULL,14288,FYP,浮,NULL
179,NULL,NULL,1,NULL,NULL,1,北屯      ,NULL,NULL,NULL,0,NULL,14291,BYP,北,NULL
180,NULL,NULL,1,NULL,NULL,1,涞源      ,NULL,NULL,NULL,0,NULL,14294,LYP,涞,NULL
181,NULL,NULL,1,NULL,NULL,1,小西庄    ,NULL,NULL,NULL,0,NULL,14297,XXP,小,NULL
182,NULL,NULL,1,NULL,NULL,1,艾河      ,NULL,NULL,NULL,0,NULL,14300,AHP,艾,NULL
183,NULL,NULL,1,NULL,NULL,1,招柏      ,NULL,NULL,NULL,0,NULL,14306,ZBP,招,NULL
184,NULL,NULL,1,NULL,NULL,1,云彩岭    ,NULL,NULL,NULL,0,NULL,14309,ACP,云,NULL
185,NULL,NULL,1,NULL,NULL,1,大涧      ,NULL,NULL,NULL,0,NULL,14312,DFP,大,NULL
186,NULL,NULL,1,NULL,NULL,1,灵丘      ,NULL,NULL,NULL,0,NULL,14315,LVV,灵,NULL
187,NULL,NULL,1,NULL,NULL,1,平型关    ,NULL,NULL,NULL,0,NULL,14342,PGV,平,NULL
188,NULL,NULL,1,NULL,NULL,1,东淤地    ,NULL,NULL,NULL,0,NULL,14345,DBV,东,NULL
189,NULL,NULL,1,NULL,NULL,1,东庄      ,NULL,NULL,NULL,0,NULL,14348,DZV,东,NULL
190,NULL,NULL,1,NULL,NULL,1,大营      ,NULL,NULL,NULL,0,NULL,14351,DYV,大,NULL
191,NULL,NULL,1,NULL,NULL,1,五台山    ,NULL,NULL,NULL,0,NULL,14357,WSV,五,NULL
192,NULL,NULL,1,NULL,NULL,1,繁峙      ,NULL,NULL,NULL,0,NULL,14366,FSV,繁,NULL
193,NULL,NULL,1,NULL,NULL,1,下社      ,NULL,NULL,NULL,0,NULL,14369,XSV,下,NULL
194,NULL,NULL,1,NULL,NULL,1,枣林      ,NULL,NULL,NULL,0,NULL,14372,ZIV,枣,NULL
195,NULL,NULL,1,NULL,NULL,1,代县      ,NULL,NULL,NULL,0,NULL,14375,DKV,代,NULL
